post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"5747c8ffea160","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea276","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea368","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea457","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea544","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea638","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea726","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea814","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea902","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffea9f4","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeaae3","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeabd3","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeacc0","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeadb0","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeae9c","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeaf8c","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb03c","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb134","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb22b","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb321","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb41b","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb513","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb606","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb6fc","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb7fa","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb8f2","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffeb9e9","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffebae1","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffebbd8","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"
"5747c8ffebcd0","","publish","","","","Cart % Discount","100","yes","","","","yes","no","8520","8276|8014","","","","","","","","days","","","","no","no","no"